url,comment,year,photographer,number,road,suburb,lat,lon
http://purl.slwa.wa.gov.au/slwa_b3792958_14,BA2560/14: Perth College students Tansy Flynn and Sophia Rees sharing their Anzac biscuits,2014,"Butler, Jean, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_1,BA2286/105: Looking east toward the west side of the new Perth Children's Hospital,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_2,"BA2286/106: Perth Children's Hospital under construction, from Hospital Avenue",2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_3,"BA2286/107: Perth Children's Hospital under construction, corner of Winthrop and Monash Avenues, Nedlands.",2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_4,"BA2286/108: Perth Children's Hospital under construction, Winthrop Avenue, Nedlands",2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_5,"BA2286/109: New Harry Perkins Institute building, centre, with R Block on the right",2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_6,BA2286/110: PathWest building and entrance,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_7,BA2286/111: PathWest building and public artworks,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_8,BA2286/112: PathWest entrance,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_9,BA2286/113: View of Perth Children's Hospital under construction,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_10,"BA2286/114: Construction at QEII Medical Centre, looking south on Winthrop Avenue",2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_11,BA2286/115: QEII Medical Centre redevelopment sign,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_12,BA2286/116: Harry Perkins Institute for Medical Research (left) and PathWest (right),2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3798356_13,BA2286/117: Guide sign for facilities at QEII Medical Centre,2014,"Allen, Laurie, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799685_1,"207247PD: Children from Mount Margaret Mission, Noongars of Bassendean, and Rob Schenck, during trip to Perth, 1936.",1936,,,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_1,"312586PD: View down Victoria Avenue and the back of Commonwealth Government building from Terrace Road, Perth, June 1984",1984,"Smith, Betty, photographer.",,VICTORIA AVENUE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b3799951_2,"312587PD: View from Terrace Rd to the Victoria Ave facade of C.A.G.A. Building on Adelaide Tce, small buildings at centre are on Victoria Ave, June 1984",1984,"Smith, Betty, photographer.",,VICTORIA AVENUE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b3799951_3,"312588PD: From Terrace Rd showing the back of Primary Industries Building (239 Adelaide Tce), the Sheraton Hotel in the background, June 1984",1984,"Smith, Betty, photographer.",239,ADELAIDE TERRACE,PERTH,-31.958681,115.866592
http://purl.slwa.wa.gov.au/slwa_b3799951_4,"312589PD: The proposed Paringa Tower apartment building, corner of Terrace Rd and Victoria Ave, Perth, June 1984",1984,"Smith, Betty, photographer.",,VICTORIA AVENUE,PERTH,-31.957116,115.865318
http://purl.slwa.wa.gov.au/slwa_b3799951_5,"312590PD: The Dorchester, 130 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",130,TERRACE ROAD,PERTH,-31.959330,115.866050
http://purl.slwa.wa.gov.au/slwa_b3799951_6,"312591PD: Flats at 126 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",126,TERRACE ROAD,PERTH,-31.959430,115.866350
http://purl.slwa.wa.gov.au/slwa_b3799951_7,"312592PD: Princes Perth Westside Apartments, Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_8,"312593PD: Clifton Court, 120 Terrace Rd and City Waters Lodge Hotel Units, 118 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",120,TERRACE ROAD,PERTH,-31.959480,115.866920
http://purl.slwa.wa.gov.au/slwa_b3799951_9,"312594PD: Entrance to City Waters Lodge and block of flats at 114 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",114,TERRACE ROAD,PERTH,-31.959760,115.867360
http://purl.slwa.wa.gov.au/slwa_b3799951_10,"312595PD: Linden, 106 Terrace Rd and block of flats at 104 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_11,"312596PD: Franclair (left) flats at 102 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",102,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_12,"312597PD: Manly (left) flats and the ABC Studios 82-94 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",94,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_13,"312598PD: ABC Studios, 82-94 Terrace Rd, Perth, June 1984. This building also fronts onto Adelaide Terrace",1984,"Smith, Betty, photographer.",94,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_14,"312599PD: Freemasons Hall, 78 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799951_15,"312600PD: Terrace Place corner of Terrace Rd and Bennett St and the Parkroyal Hotel, 54 Terrace Rd, Perth, Rd, June 1984",1984,"Smith, Betty, photographer.",,TERRACE ROAD,PERTH,-31.959440,115.866600
http://purl.slwa.wa.gov.au/slwa_b3799951_16,"312601PD: Parkroyal Hotel, 54 Terrace Rd, Perth, June 1984",1984,"Smith, Betty, photographer.",,,,NA,NA
